source_id,label,n_points,g_points,r_points,span_days
ZTF21aaweqit,SN,98,38,60,103.8
ZTF21aawlcwh,SN,56,17,39,56.9
ZTF21aawyyha,SN,96,41,55,75.8
ZTF21aaxlbad,SN,71,33,38,58.0
ZTF21aaxsnvk,SN,89,37,52,59.1
ZTF21aaxstzy,SN,81,35,46,68.0
ZTF21aaxsuik,SN,57,27,30,43.0
ZTF21aaxtctv,SN,50,24,26,202.3
ZTF21aaxuywf,SN,83,39,44,1360.2
ZTF21aaxwcgj,SN,66,29,37,132.7
ZTF21aaxwcof,SN,93,20,73,118.8
ZTF21aaxxoei,SN,125,55,70,100.9
ZTF21aaxylga,SN,54,22,32,86.8
ZTF21aazsylk,SN,50,20,30,44.9
ZTF21aazybsh,SN,52,25,27,84.8
ZTF21abahiow,SN,58,26,32,96.9
ZTF21abamotd,SN,86,40,46,65.9
ZTF21abbcsfu,SN,69,28,41,69.0
ZTF21abbkefe,SN,106,50,56,86.9
ZTF21abbomrf,SN,67,35,32,109.0
ZTF21abbvzrd,SN,58,25,33,105.9
ZTF21abbzjeq,SN,72,33,39,105.8
ZTF21abbzqvv,SN,55,25,30,83.9
ZTF21abcgaln,SN,56,32,24,120.8
ZTF21abcixor,SN,56,29,27,82.8
ZTF21abcjpnm,SN,106,53,53,150.8
ZTF21abcmtev,SN,53,26,27,90.9
ZTF21abczimc,SN,53,20,33,102.9
ZTF21abdlrpr,SN,55,37,18,66.9
ZTF21abdveqn,SN,77,29,48,1359.1
ZTF21abdxhgv,SN,80,36,44,65.0
ZTF21abexhlq,SN,68,32,36,54.0
ZTF21abezlqc,SN,53,25,28,91.9
ZTF21abfiuqf,SN,97,45,52,78.9
ZTF21abfnfdw,SN,91,46,45,75.9
ZTF21abfnjiu,SN,67,31,36,51.9
ZTF21abfoyac,SN,162,77,85,152.7
ZTF21abhhrpj,SN,71,33,38,106.8
ZTF21abhrmrv,SN,65,28,37,104.9
ZTF21abhtlrj,SN,64,31,33,48.9
ZTF21abhyqlv,SN,161,69,92,424.0
ZTF21abiblpl,SN,70,33,37,110.9
ZTF21abimejj,SN,70,33,37,45.0
ZTF21abiuvdk,SN,78,43,35,146.7
ZTF21abiyyob,SN,56,25,31,57.0
ZTF21abjvwcd,SN,70,26,44,69.0
ZTF21abjwvzu,SN,79,32,47,237.7
ZTF21abkdpnw,SN,163,85,78,125.8
ZTF21ablwfcp,SN,54,23,31,92.9
ZTF21ablxfwc,SN,52,15,37,95.0
ZTF21abnlhxs,SN,75,40,35,123.7
ZTF21abnudtb,SN,78,37,41,124.8
ZTF21abnujlh,SN,206,90,116,1287.8
ZTF21abothvq,SN,50,24,26,76.0
ZTF21abotuqo,SN,61,32,29,53.9
ZTF21abouuow,SN,58,24,34,65.9
ZTF21abouxex,SN,501,191,310,1186.9
ZTF21abprzfg,SN,66,31,35,72.9
ZTF21abpyauz,SN,59,29,30,114.7
ZTF21abqftqr,SN,67,31,36,103.8
ZTF21abqikvn,SN,63,31,32,104.8
ZTF21abqmrun,SN,153,78,75,97.8
ZTF21abqpwpu,SN,51,24,27,39.9
ZTF21abrluay,SN,63,28,35,105.8
ZTF21abrxoir,SN,105,51,54,93.8
ZTF21absvlrr,SN,112,54,58,111.8
ZTF21abtcftb,SN,74,51,23,102.8
ZTF21abtdlno,SN,80,20,60,196.7
ZTF21abujejr,SN,63,27,36,40.9
ZTF21abvcxel,SN,50,24,26,87.9
ZTF21abvicne,SN,71,34,37,74.9
ZTF21abwgpgt,SN,53,28,25,36.0
ZTF21abwqopp,SN,54,26,28,36.0
ZTF21abyjydm,SN,72,36,36,66.9
ZTF21acdezwk,SN,62,30,32,65.9
ZTF21acdoyqt,SN,51,22,29,62.0
ZTF21acpfndw,SN,51,30,21,168.0
ZTF22aaabmmc,SN,59,23,36,73.9
ZTF22aaacxkp,SN,86,39,47,151.7
ZTF22aaaefgq,SN,73,32,41,178.8
ZTF22aaaepmu,SN,61,16,45,178.7
ZTF22aaafeiu,SN,73,38,35,136.8
ZTF22aaafjir,SN,50,20,30,103.9
ZTF22aabzsqo,SN,63,17,46,156.8
ZTF22aaddsxu,SN,65,33,32,34.9
ZTF22aaddtiu,SN,68,38,30,100.9
ZTF22aaddvbe,SN,90,42,48,60.8
ZTF22aaddwlv,SN,77,41,36,59.9
ZTF22aadephk,SN,51,24,27,46.9
ZTF22aadepkk,SN,53,23,30,79.8
ZTF22aadetzg,SN,59,26,33,52.1
ZTF22aadewot,SN,59,21,38,52.0
ZTF22aadfcnz,SN,51,25,26,37.1
ZTF22aadfgpu,SN,64,26,38,48.0
ZTF22aadfnrx,SN,85,41,44,109.9
ZTF22aadfrjm,SN,54,25,29,80.9
ZTF22aadksbz,SN,56,16,40,192.2
ZTF22aadnqsf,SN,90,41,49,91.8
ZTF22aadolby,SN,71,30,41,103.0
ZTF22aaegxpa,SN,64,21,43,139.8
ZTF22aaezjuu,SN,61,29,32,87.9
ZTF22aaezyos,SN,105,40,65,84.9
ZTF22aafbaui,SN,65,21,44,109.9
ZTF22aafoweb,SN,55,25,30,77.0
ZTF22aafrjnw,SN,76,30,46,65.9
ZTF22aafsqud,SN,63,31,32,93.9
ZTF22aaftbrs,SN,60,26,34,54.0
ZTF22aaftjcp,SN,70,33,37,37.1
ZTF22aaftjpg,SN,65,36,29,96.9
ZTF22aaftkom,SN,100,46,54,75.8
ZTF22aaftnrt,SN,65,35,30,52.8
ZTF22aaftomx,SN,72,25,47,74.9
ZTF22aafuhzs,SN,54,23,31,79.9
ZTF22aafupdg,SN,53,25,28,39.0
ZTF22aafuspb,SN,51,22,29,37.0
ZTF22aafvbai,SN,86,40,46,113.9
ZTF22aafvbku,SN,60,27,33,89.9
ZTF22aafxzfb,SN,60,18,42,203.3
ZTF22aaganrm,SN,94,43,51,93.9
ZTF22aagbsnp,SN,68,30,38,99.0
ZTF22aagnmzm,SN,52,21,31,80.9
ZTF22aagpxll,SN,88,39,49,134.9
ZTF22aahebcu,SN,135,63,72,93.0
ZTF22aahhgfx,SN,57,23,34,70.8
ZTF22aahibvx,SN,98,49,49,85.9
ZTF22aaiisww,SN,56,27,29,42.9
ZTF22aaipocw,SN,98,51,47,66.0
ZTF22aaitzvr,SN,55,25,30,77.9
ZTF22aajezaq,SN,96,53,43,148.8
ZTF22aajhlaj,SN,87,42,45,67.1
ZTF22aajhtpy,SN,51,23,28,68.9
ZTF22aajijjf,SN,58,28,30,83.9
ZTF22aajjawt,SN,77,29,48,116.7
ZTF22aajuhsi,SN,50,16,34,87.9
ZTF22aajvkrd,SN,72,40,32,53.0
ZTF22aakaygk,SN,79,36,43,113.9
ZTF22aakdqqg,SN,57,26,31,82.9
ZTF22aakdwiu,SN,58,28,30,89.9
ZTF22aakitdm,SN,75,33,42,105.9
ZTF22aaknmbw,SN,57,25,32,87.8
ZTF22aaksdvi,SN,53,23,30,42.9
ZTF22aalfezf,SN,56,24,32,81.8
ZTF22aalwnjf,SN,55,23,32,57.0
ZTF22aambeqv,SN,56,26,30,79.8
ZTF22aambfit,SN,57,30,27,50.9
ZTF22aambnsg,SN,76,37,39,56.9
ZTF22aamfvrs,SN,81,41,40,69.9
ZTF22aamrkns,SN,96,42,54,99.8
ZTF22aamwznx,SN,181,37,144,139.9
ZTF22aamzzjw,SN,79,36,43,54.0
ZTF22aanumko,SN,56,33,23,133.8
ZTF22aanvuvq,SN,58,26,32,87.0
ZTF22aanzrlh,SN,56,28,28,76.8
ZTF22aaokebo,SN,52,24,28,81.9
ZTF22aaokiud,SN,106,31,75,126.9
ZTF22aaolvwv,SN,61,31,30,96.9
ZTF22aaolwsd,SN,195,99,96,136.8
ZTF22aaoxhuh,SN,59,22,37,112.8
ZTF22aaptcfi,SN,58,30,28,91.0
ZTF22aapubaf,SN,53,20,33,126.8
ZTF22aapubuy,SN,181,95,86,204.7
ZTF22aaskqie,SN,53,25,28,91.9
ZTF22aaslkoa,SN,111,52,59,116.8
ZTF22aasojye,SN,74,36,38,114.9
ZTF22aasxakz,SN,152,60,92,96.7
ZTF22aasyitj,SN,51,21,30,82.7
ZTF22aataizc,SN,50,17,33,51.0
ZTF22aativsd,SN,120,50,70,282.1
ZTF22aauexsq,SN,55,28,27,125.7
ZTF22aauxzqe,SN,59,27,32,43.8
ZTF22aavcvgd,SN,50,22,28,90.8
ZTF22aavpkwo,SN,54,25,29,88.8
ZTF22aawavtx,SN,57,27,30,42.0
ZTF22aawdqfp,SN,116,56,60,96.8
ZTF22aaxbape,SN,50,23,27,88.8
ZTF22aaxgujq,SN,65,34,31,92.9
ZTF22aaydcsb,SN,52,25,27,83.9
ZTF22aayfpso,SN,53,26,27,54.0
ZTF22aaynpda,SN,65,34,31,112.8
ZTF22aaywnyg,SN,95,44,51,239.7
ZTF22aazjiam,SN,59,24,35,124.8
ZTF22aazmrpx,SN,63,29,34,105.7
ZTF22abbausm,SN,50,24,26,86.8
ZTF22abbgyvi,SN,58,26,32,66.8
ZTF22abblogu,SN,82,36,46,73.9
ZTF22abcfics,SN,81,38,43,81.9
ZTF22abdfjjo,SN,66,35,31,118.8
ZTF22abdtcki,SN,61,32,29,61.9
ZTF22abdxbyh,SN,55,26,29,51.9
ZTF22abecbbd,SN,72,36,36,60.8
ZTF22abelwtb,SN,61,34,27,112.9
ZTF22abemgfd,SN,53,25,28,56.0
ZTF22abfavpu,SN,112,53,59,102.8
ZTF22abftrwv,SN,75,29,46,84.9
ZTF22abfuwel,SN,52,27,25,73.9
ZTF22abfvtdp,SN,82,44,38,69.8
ZTF22abfwxtr,SN,70,29,41,131.9
ZTF22abfxkdm,SN,62,34,28,96.9
ZTF22abfxmvf,SN,67,37,30,44.0
ZTF22abfyzir,SN,82,38,44,73.9
ZTF22abfzarj,SN,58,25,33,48.1
ZTF22abfzfnn,SN,50,23,27,96.9
ZTF22abgbcef,SN,50,22,28,62.0
ZTF22abgbhub,SN,109,35,74,89.0
ZTF22abgdjwt,SN,50,26,24,39.9
ZTF22abghgca,SN,52,24,28,89.9
ZTF22abhfwmr,SN,99,45,54,85.8
ZTF22abhuvqj,SN,95,41,54,90.8
ZTF22abiysva,SN,50,21,29,86.8
ZTF22abjagqj,SN,55,25,30,91.8
ZTF22abjeeqt,SN,55,23,32,55.0
ZTF22abjpcjy,SN,65,26,39,62.8
ZTF22abjpfpl,SN,51,21,30,60.8
ZTF22abkjegi,SN,53,25,28,50.9
ZTF22abkkhao,SN,64,30,34,139.8
ZTF22abmcnmz,SN,53,17,36,54.9
ZTF22abmiohu,SN,78,35,43,76.7
ZTF22abmolve,SN,74,34,40,72.9
ZTF22abmwonm,SN,52,24,28,949.2
ZTF22abrexqa,SN,121,32,89,370.0
ZTF22abscvex,SN,59,25,34,55.9
ZTF22absmrdt,SN,90,32,58,231.7
ZTF22abtcyhv,SN,62,35,27,234.8
ZTF22abunrdy,SN,85,18,67,232.7
ZTF22abyokkf,SN,55,28,27,223.7
ZTF22abztcly,SN,198,19,179,250.3
ZTF22acbacvy,SN,52,15,37,167.7
ZTF23aaaatjn,SN,75,23,52,201.3
ZTF23aaawcvx,SN,54,30,24,152.8
ZTF23aabtfho,SN,67,52,15,131.9
ZTF23aacdlsh,SN,56,26,30,139.7
ZTF23aadcben,SN,76,40,36,134.9
ZTF23aadjoew,SN,69,30,39,141.8
ZTF23aaeavsv,SN,83,32,51,101.9
ZTF23aaedvtn,SN,53,26,27,53.0
ZTF23aaeemik,SN,60,28,32,103.9
ZTF23aaejwfe,SN,98,51,47,152.8
ZTF23aaekiqe,SN,92,50,42,188.7
ZTF23aaenlmq,SN,69,34,35,106.8
ZTF23aaeqhrg,SN,59,31,28,93.8
ZTF23aaeyugg,SN,62,29,33,101.9
ZTF23aafarxf,SN,107,45,62,204.7
ZTF23aafqzkn,SN,68,28,40,64.9
ZTF23aafrhew,SN,64,27,37,73.0
ZTF23aagdamr,SN,69,36,33,101.9
ZTF23aagmbuf,SN,56,19,37,38.9
ZTF23aahfxpr,SN,90,47,43,136.9
ZTF23aahnmag,SN,63,27,36,125.8
ZTF23aaijdwl,SN,86,41,45,76.8
ZTF23aailjjs,SN,53,22,31,101.8
ZTF23aaiwvdh,SN,137,66,71,101.0
ZTF23aajeunk,SN,67,33,34,59.9
ZTF23aajfere,SN,51,19,32,88.8
ZTF23aajscgu,SN,58,28,30,40.0
ZTF23aakstht,SN,74,26,48,141.9
ZTF23aalftvv,SN,89,41,48,175.7
ZTF23aamfmqm,SN,71,33,38,110.9
ZTF23aamqonh,SN,66,34,32,96.9
ZTF23aamqzyz,SN,61,31,30,95.9
ZTF23aamsarj,SN,115,47,68,107.0
ZTF23aamseob,SN,106,50,56,192.7
ZTF23aamskdj,SN,202,54,148,456.9
ZTF23aamzcfe,SN,62,26,36,102.9
ZTF23aamzucf,SN,72,34,38,69.8
ZTF23aangpza,SN,83,16,67,101.0
ZTF23aanpuwv,SN,50,15,35,53.9
ZTF23aanqoyo,SN,93,41,52,159.7
ZTF23aansctq,SN,51,23,28,73.9
ZTF23aanxrjm,SN,67,24,43,363.0
ZTF23aaoanrl,SN,72,30,42,64.9
ZTF23aaohfxx,SN,59,23,36,101.8
ZTF23aaoihto,SN,218,28,190,182.8
ZTF23aaoxngr,SN,73,34,39,50.9
ZTF23aaozatq,SN,94,44,50,74.9
ZTF23aapcllu,SN,51,19,32,95.8
ZTF23aapgswu,SN,54,26,28,109.1
ZTF23aapksof,SN,76,37,39,104.9
ZTF23aapuknd,SN,117,42,75,114.9
ZTF23aapwwak,SN,59,25,34,57.9
ZTF23aaqhtiq,SN,51,25,26,38.9
ZTF23aaqhvds,SN,54,25,29,86.7
ZTF23aaqknaw,SN,57,18,39,117.9
ZTF23aaqkpwb,SN,58,30,28,133.7
ZTF23aaqujvz,SN,70,33,37,72.8
ZTF23aarvrvd,SN,53,19,34,65.8
ZTF23aarxtku,SN,53,21,32,98.9
ZTF23aasbvab,SN,145,67,78,115.8
ZTF23aasnwva,SN,131,52,79,426.0
ZTF23aasopeh,SN,68,33,35,106.9
ZTF23aaspcfl,SN,73,30,43,90.9
ZTF23aatdcey,SN,68,33,35,144.8
ZTF23aavmcbq,SN,55,21,34,53.9
ZTF23aavolri,SN,70,33,37,108.8
ZTF23aavvdix,SN,120,52,68,103.9
ZTF23aavxtvg,SN,77,42,35,134.8
ZTF23aawcatm,SN,74,31,43,132.9
ZTF23aawgkqa,SN,72,35,37,144.7
ZTF23aawwcuu,SN,66,30,36,46.9
ZTF23aawyhqa,SN,84,35,49,85.8
ZTF23aaxadel,SN,68,32,36,122.7
ZTF23aaxchnm,SN,88,42,46,189.7
ZTF23aaxtmrr,SN,147,69,78,124.9
ZTF23aaxuvkn,SN,88,24,64,155.7
ZTF23aaznfqc,SN,58,27,31,43.9
ZTF23aazqmwp,SN,65,31,34,108.8
ZTF23aazrtdy,SN,64,31,33,63.7
ZTF23aazvhon,SN,62,33,29,106.9
ZTF23aazyfss,SN,58,26,32,144.7
ZTF23abaeenk,SN,80,34,46,418.0
ZTF23abanqhu,SN,62,29,33,81.9
ZTF23abascqa,SN,69,34,35,133.7
ZTF23abavosd,SN,51,24,27,69.9
ZTF23abaxlrz,SN,53,24,29,97.8
ZTF23abaxtlq,SN,115,60,55,102.8
ZTF23abbtkrv,SN,77,20,57,119.8
ZTF23abbzdoj,SN,88,31,57,248.1
ZTF23abbzhug,SN,60,25,35,94.8
ZTF23abclpxs,SN,54,24,30,41.0
ZTF23abgnxri,SN,84,19,65,221.7
ZTF23abhyroo,SN,74,16,58,96.7
ZTF23abhyssf,SN,131,22,109,101.8
ZTF23abiwnpj,SN,68,32,36,37.9
ZTF23abjfrbi,SN,50,32,18,60.8
ZTF23abjyups,SN,90,42,48,125.8
ZTF23abmoxlu,SN,53,25,28,135.9
ZTF23abpbdfm,SN,124,89,35,210.8
ZTF23abtniaf,SN,96,46,50,227.7
ZTF24aaarwvd,SN,79,46,33,208.6
ZTF24aaczfve,SN,120,51,69,217.7
ZTF24aadmaqm,SN,63,44,19,314.1
ZTF24aaecxun,SN,71,35,36,104.0
ZTF24aaejvcx,SN,54,24,30,112.9
ZTF24aaekbxi,SN,69,35,34,120.0
ZTF24aaekclg,SN,53,21,32,128.9
ZTF24aaervkt,SN,52,29,23,122.7
ZTF24aagupsf,SN,56,26,30,90.0
ZTF24aagvvun,SN,66,15,51,117.9
ZTF24aahdpki,SN,60,27,33,91.8
ZTF24aaheedw,SN,181,95,86,167.8
ZTF24aahestx,SN,76,32,44,103.9
ZTF24aahezwm,SN,79,35,44,117.8
ZTF24aahkglt,SN,52,23,29,80.9
ZTF24aahsukk,SN,62,33,29,71.9
ZTF24aahxgoa,SN,73,29,44,132.8
ZTF24aahxmmu,SN,50,24,26,74.9
ZTF24aahznij,SN,54,26,28,90.9
ZTF24aaiehiv,SN,146,54,92,68.9
ZTF24aaigbbv,SN,85,27,58,186.7
ZTF24aaijmct,SN,55,25,30,40.9
ZTF24aaijsxa,SN,72,26,46,121.9
ZTF24aaisoke,SN,104,40,64,56.1
ZTF24aaistkr,SN,89,44,45,81.9
ZTF24aajqtjc,SN,71,34,37,92.8
ZTF24aajqwsm,SN,63,23,40,103.8
ZTF24aajxppf,SN,81,33,48,136.8
ZTF24aakaiqs,SN,210,90,120,179.7
ZTF24aakajtn,SN,122,58,64,158.8
ZTF24aakghyl,SN,71,34,37,111.8
ZTF24aakzgnd,SN,54,21,33,48.0
ZTF24aalqscn,SN,126,99,27,66.9
ZTF24aamilxy,SN,55,28,27,38.0
ZTF24aamipnt,SN,101,52,49,139.7
ZTF24aamtsgz,SN,90,41,49,77.8
ZTF24aanbjel,SN,169,112,57,135.9
ZTF24aangsva,SN,51,26,25,76.9
ZTF24aanvvqn,SN,78,39,39,111.9
ZTF24aaoebqp,SN,112,59,53,102.8
ZTF24aaofamr,SN,229,196,33,52.9
ZTF24aaosrdt,SN,91,43,48,120.9
ZTF24aaovokk,SN,76,37,39,97.9
ZTF24aapadbb,SN,83,41,42,117.9
ZTF24aaplfjd,SN,63,26,37,121.0
ZTF24aaqiqpw,SN,249,198,51,69.9
ZTF24aaredhj,SN,51,20,31,46.0
ZTF24aarnmsp,SN,89,25,64,91.0
ZTF24aarxwyd,SN,79,39,40,99.8
ZTF24aarxxmm,SN,95,51,44,202.7
ZTF24aarygdq,SN,216,93,123,231.7
ZTF24aasvdze,SN,60,27,33,76.9
ZTF24aataxft,SN,53,23,30,86.0
ZTF24aatsiox,SN,53,20,33,93.8
ZTF24aatsmxc,SN,54,22,32,106.8
ZTF24aatyini,SN,61,28,33,95.0
ZTF24aaucrua,SN,87,41,46,117.8
ZTF24aaudlat,SN,59,28,31,115.7
ZTF24aaueuzb,SN,50,23,27,55.0
ZTF24aaugavy,SN,79,37,42,55.0
ZTF24aaugxzp,SN,58,41,17,99.9
ZTF24aaumfvx,SN,79,35,44,71.0
ZTF24aaumhmm,SN,57,27,30,62.0
ZTF24aaunxxm,SN,59,27,32,80.8
ZTF24aaupoie,SN,52,28,24,86.9
ZTF24aauunwk,SN,72,36,36,106.8
ZTF24aavkhwi,SN,56,23,33,77.0
ZTF24aavpxsr,SN,89,39,50,135.8
ZTF24aavzrue,SN,77,34,43,56.9
ZTF24aawruen,SN,63,28,35,45.9
ZTF24aawtoiv,SN,73,31,42,94.9
ZTF24aaxhomn,SN,81,23,58,89.8
ZTF24aaxlnut,SN,81,30,51,103.8
ZTF24aaxmalj,SN,54,22,32,75.8
ZTF24aaxmpne,SN,57,27,30,78.9
ZTF24aaxqnbe,SN,53,15,38,102.8
ZTF24aaymkrs,SN,69,32,37,83.9
ZTF24aayrqqk,SN,56,25,31,41.0
ZTF24aazjdml,SN,109,45,64,89.9
ZTF24abakgyn,SN,57,25,32,86.9
ZTF24abbvpge,SN,64,23,41,61.9
ZTF24abbwkci,SN,133,71,62,139.9
ZTF24abcbmug,SN,86,42,44,115.9
ZTF24abdebfm,SN,56,24,32,90.9
ZTF24abdndji,SN,116,52,64,102.9
ZTF24abdphgu,SN,52,18,34,124.9
ZTF24abdtszn,SN,72,27,45,121.8
ZTF24abdxiah,SN,61,22,39,61.0
ZTF24abepnpq,SN,66,31,35,98.8
ZTF24abffaqw,SN,92,41,51,62.8
ZTF24abflhlp,SN,58,36,22,34.9
ZTF24abfmniy,SN,53,25,28,91.8
ZTF24abfpcjv,SN,102,40,62,150.9
ZTF24abfuscm,SN,104,45,59,122.8
ZTF24abgoksi,SN,129,31,98,170.7
ZTF24abgvrdl,SN,154,68,86,106.8
ZTF24abhbrcs,SN,76,36,40,115.8
ZTF24abhtybk,SN,119,53,66,97.0
ZTF24abhupjy,SN,105,46,59,112.9
ZTF24abhvotc,SN,54,20,34,47.1
ZTF24abiltvb,SN,52,21,31,77.9
ZTF24abipjoh,SN,73,24,49,59.9
ZTF24abitshb,SN,91,41,50,157.6
ZTF24abjflpz,SN,65,24,41,74.0
ZTF24ablflur,SN,100,30,70,209.3
ZTF24abljkvr,SN,59,25,34,100.8
ZTF24ablkerb,SN,72,33,39,70.9
ZTF24ablssfw,SN,134,66,68,112.8
ZTF24ablstem,SN,56,25,31,102.8
ZTF24abltbed,SN,96,47,49,138.8
ZTF24abluyoy,SN,119,58,61,220.2
ZTF24abmfgxy,SN,85,44,41,59.9
ZTF24abnhusw,SN,50,24,26,77.8
ZTF24abnoozs,SN,101,47,54,103.9
ZTF24aboqfdy,SN,80,36,44,149.8
ZTF24abpqeun,SN,60,29,31,163.8
ZTF24abqtclj,SN,51,21,30,126.3
ZTF24abrchsb,SN,91,38,53,139.8
ZTF24abrkybg,SN,52,21,31,44.0
ZTF24abrorvi,SN,53,26,27,87.9
ZTF24absbhfe,SN,61,27,34,135.9
ZTF24absvdpn,SN,58,23,35,78.0
ZTF24abtbalq,SN,55,28,27,64.9
ZTF24abtzpka,SN,50,22,28,58.8
ZTF24abubygj,SN,52,27,25,43.0
ZTF24abvtglw,SN,54,22,32,41.0
ZTF24abwbjpg,SN,68,25,43,61.8
ZTF24abxvulk,SN,64,27,37,72.9
ZTF24abyatjx,SN,65,26,39,143.8
ZTF24abyhkwl,SN,109,40,69,122.9
ZTF24acabxwm,SN,55,21,34,65.0
ZTF24acaeozu,SN,71,32,39,87.9
